"","movie_id","director_id","director_name"
"581",12502,5342,"Mike Nichols"
"582",227,1776,"Francis Ford Coppola"
"583",15301,4610,"John Landis"
"584",15301,4600,"Joe Dante"
"585",15301,488,"Steven Spielberg"
"586",15301,20629,"George Miller"
"587",11336,224,"David Cronenberg"
"588",71357,10439,"Marshall Brickman"
"589",77074,133259,"Arthur Hiller"
"590",232,1776,"Francis Ford Coppola"
"591",54658,98199,"Jerry Schatzberg"
"592",8769,11770,"John Carpenter"
"593",22998,111492,"Alan Johnson"
"594",15120,33880,"Dick Lowry"
"595",11050,3388,"James L. Brooks"
"596",12560,8844,"Lawrence Kasdan"
"597",27679,5572,"Joel Schumacher"
"598",23096,59649,"Michael Pressman"
"599",12633,37710,"Peter Hyams"
"600",266331,27146,"Rob Lieberman"
"601",1058,15206,"Jim McBride"
"602",535,7270,"Adrian Lyne"
"603",21500,84657,"Lewis John Carlino"
"604",33676,323,"Curtis Hanson"
"605",19698,12698,"Bob Clark"
"606",29610,58040,"Bruce Malmuth"
"607",9346,57383,"Paul Brickman"
"608",2148,1776,"Francis Ford Coppola"
"609",841,5602,"David Lynch"
"610",9651,16187,"Jeannot Szwarc"
"611",620,8858,"Ivan Reitman"
"612",311,4385,"Sergio Leone"
"613",87,488,"Steven Spielberg"
"614",11393,8246,"Barry Levinson"
"615",4437,37710,"Peter Hyams"
"616",16551,12698,"Bob Clark"
"617",24264,6778,"John Guillermin"
"618",16969,24318,"Richard Benjamin"
"619",2669,21370,"Roger Donaldson"
"620",9663,11770,"John Carpenter"
"621",11950,67767,"Hal Needham"
"622",56821,23946,"Roger Young"
"623",279,3974,"Miloš Forman"
"624",157,1749,"Leonard Nimoy"
"625",9610,2087,"Richard Fleischer"
"626",11221,686,"Willard Huyck"
"627",38557,21958,"Mark Rydell"
"628",1880,8328,"John Milius"
"629",11379,18179,"W.D. Richter"
"630",11884,14692,"Nick Castle"
"631",11495,67753,"Mark L. Lester"
"632",15927,12238,"David Lean"
"633",14746,1723,"Walter Hill"
"634",625,8965,"Roland Joffé"
"635",90,769,"Martin Brest"
"636",24453,32767,"John Byrum"
"637",37296,18378,"Herbert Ross"
"638",50812,34611,"Howard Zieff"
"639",52744,140354,"Ulu Grosbard"
"640",11296,9168,"Alan Parker"
"641",87235,15389,"Louis Malle"
"642",927,4600,"Joe Dante"
"643",31955,58094,"Gillian Armstrong"
"644",9326,24,"Robert Zemeckis"
"645",11507,1150,"Brian De Palma"
"646",14157,43513,"Graham Baker"
"647",13681,6729,"Robert Benton"
"648",5968,3460,"Gene Wilder"
"649",8764,12936,"Jim Abrahams"
"650",8764,3415,"Jerry Zucker"
