"","movie_id","actor_id","actor_name","billing_order","character"
"341",636,2782,"Ian Wolfe",4,"PTO"
"342",636,9224,"Marshall Efron",5,"TWA"
"343",15393,190,"Clint Eastwood",0,"Dave"
"344",15393,41232,"Jessica Walter",1,"Evelyn"
"345",15393,50234,"Donna Mills",2,"Tobie"
"346",15393,95564,"John Larch",3,"Sgt. McCallum"
"347",15393,95597,"Jack Ging",4,"Frank"
"348",15393,111581,"Irene Hervey",5,"Madge"
"349",108723,41256,"Art Hindle",0,"Billy Duke"
"350",108723,1054403,"Trudy Young",1,"Sherry Nelson"
"351",108723,17580,"John Vernon",2,"Fred Wares"
"352",108723,252,"Sean Sullivan",3,"Greg Walsh"
"353",108723,1196974,"Vivian Reis",4,"Grace Walsh"
"354",108723,1446328,"George Armstrong",5,"Himself"
"355",31906,190,"Clint Eastwood",0,"John McBurney"
"356",31906,41283,"Geraldine Page",1,"Martha"
"357",31906,70286,"Elizabeth Hartman",2,"Edwina"
"358",31906,100634,"Jo Ann Harris",3,"Carol"
"359",31906,102860,"Darleen Carr",4,"Doris"
"360",31906,14787,"Mae Mercer",5,"Hallie"
"361",139324,3267,"George Hamilton",0,"Evel Knievel"
"362",139324,12445,"Sue Lyon",1,"Linda"
"363",139324,31503,"Bert Freed",2,"Doc Kincaid"
"364",139324,58217,"Rod Cameron",3,"Charlie Knesson"
"365",139324,6463,"Dub Taylor",4,"Turquoise Smith"
"366",139324,18709,"Ron Masak",5,"Pete"
"367",839,12422,"Dennis Weaver",0,"David Mann"
"368",839,40186,"Jacqueline Scott",1,"Mrs. Mann"
"369",839,12423,"Eddie Firestone",2,"Cafe Owner"
"370",839,160969,"Lou Frizzell",3,"Bus Driver"
"371",839,12424,"Gene Dynarski",4,"Man in Cafe"
"372",839,12430,"Lucille Benson",5,"Lady at Snakerama"
"373",5822,45812,"Simon Chuckster",0,"Beetle"
"374",5822,135650,"Melvin Van Peebles",1,"Sweetback"
"375",5822,45813,"Hubert Scales",2,"Mu-Mu"
"376",5822,16214,"Mario Van Peebles",3,"The Young Sweetback"
"377",5822,101432,"John Dullaghan",4,"Commissioner"
"378",5822,22384,"John Amos",5,"Biker"
"379",42517,112404,"Judith Brown",0,"Collier"
"380",42517,2230,"Pam Grier",1,"Grear"
"381",42517,121356,"Brooke Mills",2,"Harrad"
"382",42517,74352,"Roberta Collins",3,"Alcott"
"383",42517,164966,"Pat Woodell",4,"Bodine"
"384",42517,5695,"Sid Haig",5,"Harry"
"385",414817,221792,"Don Arioli",0,"Caveman"
"386",414817,1403987,"Gerald Budner",1,"Cavewoman"
"387",414817,3305716,"John Howe",2,"Al"
"388",117213,1075486,"Albert T. Viola",0,"Amos Huxley"
"389",117213,1217636,"Ilene Kristen",1,"Mary Lou"
"390",117213,1337748,"Adam Hesse",2,"Clyde"
"391",117213,1337749,"Marian Brown",3,"Martha"
"392",117213,1451819,"Esty F. Davis Jr.",4,"Judd"
"393",117213,1451820,"W. Henry Smith",5,"Brother Henry"
"394",45793,11390,"Peter O'Toole",0,"Don Quixote De La Mancha / Miguel de Cervantes / Alonso Quijana"
"395",45793,16757,"Sophia Loren",1,"Dulcinea / Aldonza"
"396",45793,41220,"James Coco",2,"Sancho Panza / Cervantes' Manservant"
"397",45793,385,"Ian Richardson",3,"The Padre"
"398",45793,19463,"Harry Andrews",4,"The Innkeeper / The Governor"
"399",45793,15198,"John Castle",5,"Sanson Carrasco / The Duke"
"400",238,3084,"Marlon Brando",0,"Don Vito Corleone"
"401",238,1158,"Al Pacino",1,"Michael Corleone"
"402",238,3085,"James Caan",2,"Sonny Corleone"
"403",238,3087,"Robert Duvall",3,"Tom Hagen"
"404",238,3086,"Richard S. Castellano",4,"Clemenza"
"405",238,3092,"Diane Keaton",5,"Kay Adams"
"406",15573,4165,"John Wayne",0,"Wil Andersen"
"407",15573,24368,"Roscoe Lee Browne",1,"Jebediah Nightlinger"
"408",15573,6905,"Bruce Dern",2,"Long Hair"
"409",15573,10559,"Colleen Dewhurst",3,"Kate"
