"","movie_id","top_genre"
"659",1584713,NA
"660",1583817,NA
"661",1583238,"Family"
"662",1583230,"Documentary"
"663",1581521,NA
"664",1576904,NA
"665",1575062,"Music"
"666",1568956,NA
"667",1567080,"Drama"
"668",1567025,"Animation"
"669",1565397,NA
"670",1556831,"Documentary"
"671",1551996,"Animation"
"672",1551797,"Drama"
"673",1548842,NA
"674",1547426,"Drama"
"675",1545675,"Documentary"
"676",1545494,NA
"677",1543722,"Drama"
"678",1541740,NA
"679",1541669,"Animation"
"680",1541530,NA
"681",1538962,"Drama"
"682",1535236,"Documentary"
"683",1533414,NA
"684",1532875,NA
"685",1531319,"Documentary"
"686",1529340,NA
"687",1527899,"Documentary"
"688",1515224,NA
"689",1512826,"Documentary"
"690",1511445,"Documentary"
"691",1507279,"Animation"
"692",1495584,NA
"693",1494608,NA
"694",1489882,NA
"695",1479624,NA
"696",1479614,"Documentary"
"697",1479613,"Documentary"
"698",1479609,"Documentary"
"699",1479202,"Horror"
"700",1477675,"Drama"
"701",1477383,"Animation"
"702",1475955,NA
"703",1473974,"Comedy"
"704",1469417,NA
"705",1467291,"Drama"
"706",1462260,NA
"707",1461151,NA
"708",1460278,NA
"709",1459929,NA
"710",1459446,NA
"711",1458017,NA
"712",1449819,"Documentary"
"713",1447730,NA
"714",1446727,NA
"715",1444142,NA
"716",1443245,"Documentary"
"717",1440555,NA
"718",1438123,NA
"719",1436420,NA
"720",1435869,NA
"721",1434043,NA
"722",1433943,NA
"723",1433530,NA
"724",1433521,NA
"725",1432344,"Drama"
"726",1432341,"Documentary"
"727",1431315,"Documentary"
"728",1430385,"Documentary"
"729",1430322,"Documentary"
"730",1430321,"Documentary"
"731",1430314,"Documentary"
"732",1430310,"Documentary"
"733",1430297,"Documentary"
"734",1429255,"Documentary"
"735",1429123,"Documentary"
"736",1425930,"Documentary"
"737",1423025,NA
"738",1419080,"Documentary"
"739",1416618,"Documentary"
"740",1415587,"Documentary"
"741",1412076,"Music"
"742",1410313,"Music"
"743",1408319,NA
"744",1406902,"Documentary"
"745",1406469,NA
"746",1406198,NA
"747",1406196,NA
"748",1403924,NA
"749",1398087,"Documentary"
"750",1397855,"Animation"
"751",1396057,"Documentary"
"752",1394628,NA
"753",1386745,NA
"754",1383826,NA
"755",1383077,"Documentary"
"756",1381608,"Animation"
"757",1380669,NA
"758",1380491,"Documentary"
"759",1380488,"Documentary"
"760",1379568,NA
"761",1375022,NA
"762",1374465,NA
"763",1370957,"Music"
"764",1369710,"Comedy"
"765",1369470,NA
"766",1367256,"Animation"
"767",1365824,NA
"768",1364654,NA
"769",1363296,NA
"770",1355564,"Documentary"
"771",1355036,NA
"772",1354940,"Documentary"
"773",1354744,"Animation"
"774",1341381,"Animation"
"775",1341076,NA
"776",1341075,NA
"777",1340978,"Documentary"
"778",1340626,NA
"779",1339336,"Horror"
"780",1338924,NA
"781",1338603,"Animation"
"782",1338563,"Comedy"
"783",1337667,"Animation"
"784",1328191,NA
"785",1328182,NA
"786",1327652,"Documentary"
"787",1327074,"Documentary"
"788",1326883,"History"
"789",1326308,"Documentary"
"790",1323977,NA
"791",1322416,NA
"792",1322061,"Animation"
"793",1322055,"Animation"
"794",1321115,"Animation"
"795",1320530,"Animation"
"796",1316613,"Comedy"
"797",1311757,NA
"798",1311485,"Adventure"
"799",1311484,"Adventure"
"800",1310945,"Documentary"
"801",11072,"Western"
"802",5919,"Action"
"803",27932,"Drama"
"804",240,"Drama"
"805",682,"Adventure"
"806",3034,"Comedy"
"807",11123,"Action"
"808",13939,"Crime"
"809",4985,"Comedy"
"810",16246,"Action"
"811",10869,"Romance"
"812",30497,"Horror"
"813",829,"Crime"
"814",11034,"Drama"
"815",8348,"Comedy"
"816",16153,"Romance"
"817",33740,"Documentary"
"818",42450,"Drama"
"819",19017,"Action"
"820",987,"Comedy"
"821",5121,"Crime"
"822",29845,"Drama"
